ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Regular price,Sale price,Categories,Tags,Images,Gallery,Download limit,Download expiry days,Parent,Grouped products,Attributes,Default attributes,Brands
,,ARGAC0101,CARGADOR USB PARA AUTO ARGOM,,,,"Práctico conector para recargar dispositivos, diseño compacto e liviano, compatible con los tomacorrientes de la mayoría de los vehículos, fusible inc...","Práctico conector para recargar dispositivos, diseño compacto e liviano, compatible con los tomacorrientes de la mayoría de los vehículos, fusible incorporado para proteger los dispositivos conectados.

Especificaciones

Puerto USB 2.0 1-Puerto 1000mA (1A)
Voltaje de alimentación: 12-24 V DC
Voltaje de salida: 5V
Dimensión (mm): 44x25x25
Indicador LED de conexión
",,,,355.0,,,2.39,,Otros,"salida:, e, diseño, especificaciones, v, puerto, 1000ma, dispositivos,, los, de, usb, compatible, voltaje, auto, compacto, 2.0, 5v, recargar, (1a), práctico, conector, alimentación:, liviano,, 1-puerto, fusible, dimensión, cargador, dc, vehículos,, conexión, para, incorporado, led, indicador, la, 44x25x25, mayoría, (mm):, dispositivos, 12-24, con, argom, conectados., tomacorrientes, proteger",https://starcenter.com.uy/uploads/products/25-1444336799.jpg,,,,,,,,Argom
,,ARGAC1222,MOUSE PAD C/GEL ARGOM,,,,"El Mouse Pad de Gel 360 con diseño ergonómico ofrece el mejor soporte para su muñeca. 
El Pad Ergonómico con soporte de gel para el brazo ofrece una p...","El Mouse Pad de Gel 360 con diseño ergonómico ofrece el mejor soporte para su muñeca. 
El Pad Ergonómico con soporte de gel para el brazo ofrece una posición confortable para el trabajo. 
Este pad esta hecho de tela Lycra elástica, gel indeformable y cuenta con una base de vinyl PU antideslizante. 
",,,,351.0,,,7.35,,Accesorios de Computadora,"antideslizante., ergonómico, su, diseño, mouse, elástica,, de, soporte, hecho, y, pu, base, c/gel, trabajo., gel, brazo, posición, mejor, pad, confortable, muñeca., el, esta, una, para, este, cuenta, ofrece, tela, con, 360, argom, lycra, indeformable, vinyl",https://starcenter.com.uy/uploads/products/29-1444336798.jpg,,,,,,,,Argom
,,ARGAC1233G,MOUSE PAD ARGOM ESMERALDA GREEN,,,,"Impreso en una cubierta duradera de paño, la base está hecha de una superficie antideslizante que mantiene la almohadilla en su sitio. Disponible en t...","Impreso en una cubierta duradera de paño, la base está hecha de una superficie antideslizante que mantiene la almohadilla en su sitio. Disponible en tres llamativos colores: Verde Esmeralda, Azul Zafiro y Rojo Rubí.",,,,222.0,,,1.37,,Accesorios de Computadora,"su, en, superficie, mantiene, duradera, mouse, cubierta, colores:, llamativos, de, azul, y, base, antideslizante, disponible, impreso, pad, tres, esmeralda, verde, una, rojo, zafiro, que, la, paño,, esmeralda,, sitio., almohadilla, argom, rubí., está, green, hecha",https://starcenter.com.uy/uploads/products/30-1444336781.jpg,,,,,,,,Argom
,,ARGAC1233R,MOUSE PAD RUBY RED ARGOM,,,,"Impreso en una cubierta duradera de paño, la base está hecha de una superficie antideslizante que mantiene la almohadilla en su sitio. Disponible en t...","Impreso en una cubierta duradera de paño, la base está hecha de una superficie antideslizante que mantiene la almohadilla en su sitio. Disponible en tres llamativos colores: Verde Esmeralda, Azul Zafiro y Rojo Rubí.",,,,226.0,,,1.37,,Accesorios de Computadora,"su, en, superficie, mantiene, duradera, mouse, cubierta, colores:, llamativos, de, azul, y, red, base, antideslizante, disponible, ruby, impreso, pad, tres, verde, una, rojo, zafiro, que, la, paño,, esmeralda,, sitio., almohadilla, argom, rubí., está, hecha",https://starcenter.com.uy/uploads/products/31-1444336777.jpg,,,,,,,,Argom
,,ARGCB0034,CABLE ARGOM USB A MICRO 1M,,,,"Cable de 1 metro 2.0 con conector USB 2.0 en un extremo y conector micro USB en el otro.
Ideal para dispositivos portátiles compactos, permitiendo fác...","Cable de 1 metro 2.0 con conector USB 2.0 en un extremo y conector micro USB en el otro.
Ideal para dispositivos portátiles compactos, permitiendo fácilmente sincronizar y transferir datos o cargar el dispositivo a una velocidad de transferencia de hasta 480 Mbps.
",,,,413.0,,,1.66,,Cables,"velocidad, o, en, 480, de, portátiles, 1, usb, y, un, metro, a, 2.0, permitiendo, cargar, datos, hasta, conector, sincronizar, compactos,, 1m, el, una, ideal, otro., extremo, para, dispositivos, mbps., transferencia, con, argom, fácilmente, micro, transferir, cable, dispositivo","https://starcenter.com.uy/uploads/products/43-1444336770.jpg, https://starcenter.com.uy/uploads/products/43-72-1444336771.jpg, https://starcenter.com.uy/uploads/products/43-73-1444336772.jpg, https://starcenter.com.uy/uploads/products/43-74-1444336773.jpg, https://starcenter.com.uy/uploads/products/43-75-1444336774.jpg, https://starcenter.com.uy/uploads/products/43-72-1444336771.jpg, https://starcenter.com.uy/uploads/products/43-73-1444336772.jpg, https://starcenter.com.uy/uploads/products/43-74-1444336773.jpg, https://starcenter.com.uy/uploads/products/43-75-1444336774.jpg","https://starcenter.com.uy/uploads/products/43-72-1444336771.jpg, https://starcenter.com.uy/uploads/products/43-73-1444336772.jpg, https://starcenter.com.uy/uploads/products/43-74-1444336773.jpg, https://starcenter.com.uy/uploads/products/43-75-1444336774.jpg",,,,,,,Argom
,,ARGCB0035,"CABLE ARGOM AUDIO 3,5MM A 3,5MM",,,,"Compatible con la mayoría de dispositivos de audio, incluyendo consolas de videojuegos, teléfonos celulares, tabletas, ordenadores portátiles, conecto...","Compatible con la mayoría de dispositivos de audio, incluyendo consolas de videojuegos, teléfonos celulares, tabletas, ordenadores portátiles, conector auxiliar para vehículo, iPod, MP3/MP4, reproductores multimedia, sistemas de altavoces, etc.

ESPECIFICACIONES

Cable de 6 pies / 1.5 metros con conectores estíreo de 3.5 mm Macho y Hembra en los extremos.
3.5 mm 4 conductores (3 anillos negros) Audio Estíreo + Micrófono.",,,,117.0,,,1.56,,Cables,"micrófono., 4, consolas, portátiles,, en, especificaciones, ordenadores, celulares,, de, mm, los, anillos, /, y, etc., compatible, conectores, ipod,, a, reproductores, altavoces,, (3, vehículo,, videojuegos,, macho, pies, auxiliar, conector, negros), extremos., hembra, metros, audio,, sistemas, 3.5, estíreo, 3,5mm, para, +, mp3/mp4,, la, multimedia,, 6, mayoría, conductores, dispositivos, con, audio, tabletas,, teléfonos, argom, incluyendo, cable, 1.5","https://starcenter.com.uy/uploads/products/44-1444336765.jpg, https://starcenter.com.uy/uploads/products/44-69-1444336766.jpg, https://starcenter.com.uy/uploads/products/44-70-1444336768.jpg, https://starcenter.com.uy/uploads/products/44-71-1444336768.jpg, https://starcenter.com.uy/uploads/products/44-69-1444336766.jpg, https://starcenter.com.uy/uploads/products/44-70-1444336768.jpg, https://starcenter.com.uy/uploads/products/44-71-1444336768.jpg","https://starcenter.com.uy/uploads/products/44-69-1444336766.jpg, https://starcenter.com.uy/uploads/products/44-70-1444336768.jpg, https://starcenter.com.uy/uploads/products/44-71-1444336768.jpg",,,,,,,Argom
,,ARGCB0037,CABLE ARGOM LIGHTNING PARA IPHONE,,,,"Cable de 3 pies/1 metro con conectores estéreo de 3,5 mm en los extremos.
Compatible con la mayoría de dispositivos de audio, incluyendo consolas de v...","Cable de 3 pies/1 metro con conectores estéreo de 3,5 mm en los extremos.
Compatible con la mayoría de dispositivos de audio, incluyendo consolas de videojuegos, teléfonos celulares, tabletas, ordenadores portátiles, conector auxiliar para vehículo, iPod, MP3/MP4 reproductores multimedia, sistemas de altavoces, etc.
",,,,2808.0,,,1.96,,Cables,"consolas, portátiles,, en, ordenadores, mm, de, los, celulares,, etc., compatible, conectores, ipod,, metro, reproductores, altavoces,, vehículo,, 3,5, videojuegos,, pies/1, auxiliar, conector, estéreo, extremos., iphone, audio,, sistemas, lightning, para, la, multimedia,, mp3/mp4, mayoría, 3, dispositivos, con, tabletas,, teléfonos, argom, incluyendo, cable","https://starcenter.com.uy/uploads/products/45-1107099379.jpg, https://starcenter.com.uy/uploads/products/45-467367813.jpg, https://starcenter.com.uy/uploads/products/45-467367813.jpg",https://starcenter.com.uy/uploads/products/45-467367813.jpg,,,,,,,Argom
,,ARGCB1875,CABLE ARGOM HDMI 3MTS,,,,"Cable Digital de Alta definición para Audio/Video
Transmite Alta definición a 480p/720p/1080p y 3D 
Version 1.4.
","Cable Digital de Alta definición para Audio/Video
Transmite Alta definición a 480p/720p/1080p y 3D 
Version 1.4.
",,,,77.0,,,5.09,,Cables,"3mts, audio/video, definición, a, 1.4., y, transmite, para, digital, 3d, argom, version, alta, de, hdmi, cable, 480p/720p/1080p",https://starcenter.com.uy/uploads/products/48-1444336789.jpg,,,,,,,,Argom
,,ARGHS0525B,AURICULARES 525 NEGRO ARGOM,,,,Ergonómicamente diseñado para ajustarse a las afueras del canal auditivo. Los auriculares Argom proporcionan un ajuste cómodo para horas de placer aud...,"Ergonómicamente diseñado para ajustarse a las afueras del canal auditivo. Los auriculares Argom proporcionan un ajuste cómodo para horas de placer auditivo.

ESPECIFICACIONES

Compatibles para iPod, iPhone, Blackberry o portable CD, DVD or MP3/MP4 player.
Presentan un diseño liviano y ergonómico con cancelación de ruido y sonido envolvente.",,,,110.0,,,3.03,,Otros,"ajustarse, ergonómico, placer, o, diseño, especificaciones, envolvente., blackberry, negro, diseñado, los, cómodo, auditivo., de, or, liviano, y, un, ipod,, a, sonido, player., ergonómicamente, dvd, ajuste, auriculares, para, iphone,, cancelación, afueras, ruido, portable, cd,, del, proporcionan, mp3/mp4, compatibles, canal, 525, con, argom, horas, presentan, las",https://starcenter.com.uy/uploads/products/54-1332791718.jpg,,,,,,,,Argom
,,ARGHS0525L,AURICULARES 525 AZUL ARGOM,,,,Ergonómicamente diseñado para ajustarse a las afueras del canal auditivo. Los auriculares Argom proporcionan un ajuste cómodo para horas de placer aud...,"Ergonómicamente diseñado para ajustarse a las afueras del canal auditivo. Los auriculares Argom proporcionan un ajuste cómodo para horas de placer auditivo.

ESPECIFICACIONES

Compatibles para iPod, iPhone, Blackberry o portable CD, DVD or MP3/MP4 player.
Presentan un diseño liviano y ergonómico con cancelación de ruido y sonido envolvente.

",,,,150.0,,,3.03,,Otros,"ajustarse, ergonómico, placer, o, diseño, especificaciones, envolvente., blackberry, diseñado, los, cómodo, de, auditivo., or, azul, liviano, y, un, ipod,, a, sonido, player., ergonómicamente, dvd, ajuste, auriculares, para, iphone,, cancelación, afueras, ruido, portable, cd,, del, proporcionan, mp3/mp4, compatibles, canal, 525, con, argom, horas, presentan, las",https://starcenter.com.uy/uploads/products/55-81214298.jpg,,,,,,,,Argom
