Category ID,Category Name,Category Slug,Parent Category,Description
cat_colectores_de_datos,Colectores de Datos,colectores-de-datos,,Productos de Colectores de Datos
cat_colectores_de_datos_lectores_de_códigos_de_barras,Lectores de Códigos de Barras,lectores-de-códigos-de-barras,Colectores de Datos,Productos de Lectores de Códigos de Barras
cat_colectores_de_datos_lectores_de_códigos_de_barras_lectores_1d_y_2d,Lectores 1D y 2D,lectores-1d-y-2d,Lectores de Códigos de Barras,Productos de Lectores 1D y 2D
cat_colectores_de_datos_lectores_de_códigos_de_barras_lectores_fijos,Lectores Fijos,lectores-fijos,Lectores de Códigos de Barras,Productos de Lectores Fijos
cat_colectores_de_datos_lectores_de_códigos_de_barras_lectores_de_mano,Lectores de Mano,lectores-de-mano,Lectores de Códigos de Barras,Productos de Lectores de Mano
cat_colectores_de_datos_colectores_de_datos_portátiles,Colectores de Datos Portátiles,colectores-de-datos-portátiles,Colectores de Datos,Productos de Colectores de Datos Portátiles
cat_colectores_de_datos_colectores_de_datos_portátiles_pda_(personal_digital_assistant),PDA (Personal Digital Assistant),pda-personal-digital-assistant,Colectores de Datos Portátiles,Productos de PDA (Personal Digital Assistant)
cat_colectores_de_datos_colectores_de_datos_portátiles_terminales_de_mano_rugerizadas,Terminales de Mano Rugerizadas,terminales-de-mano-rugerizadas,Colectores de Datos Portátiles,Productos de Terminales de Mano Rugerizadas
cat_componentes_informáticos,Componentes Informáticos,componentes-informáticos,,Productos de Componentes Informáticos
cat_componentes_informáticos_procesadores,Procesadores,procesadores,Componentes Informáticos,Productos de Procesadores
cat_componentes_informáticos_procesadores_amd,AMD,amd,Procesadores,Productos de AMD
cat_componentes_informáticos_procesadores_intel,Intel,intel,Procesadores,Productos de Intel
cat_componentes_informáticos_tarjetas_gráficas,Tarjetas Gráficas,tarjetas-gráficas,Componentes Informáticos,Productos de Tarjetas Gráficas
cat_componentes_informáticos_tarjetas_gráficas_amd,AMD,amd,Tarjetas Gráficas,Productos de AMD
cat_componentes_informáticos_tarjetas_gráficas_nvidia,NVIDIA,nvidia,Tarjetas Gráficas,Productos de NVIDIA
cat_componentes_informáticos_memorias_ram,Memorias RAM,memorias-ram,Componentes Informáticos,Productos de Memorias RAM
cat_componentes_informáticos_memorias_ram_ddr4,DDR4,ddr4,Memorias RAM,Productos de DDR4
cat_componentes_informáticos_memorias_ram_ddr5,DDR5,ddr5,Memorias RAM,Productos de DDR5
cat_componentes_informáticos_almacenamiento,Almacenamiento,almacenamiento,Componentes Informáticos,Productos de Almacenamiento
cat_componentes_informáticos_almacenamiento_hdd_(sata),HDD (SATA),hdd-sata,Almacenamiento,Productos de HDD (SATA)
"cat_componentes_informáticos_almacenamiento_ssd_(sata,_nvme)","SSD (SATA, NVMe)","ssd-sata,-nvme",Almacenamiento,"Productos de SSD (SATA, NVMe)"
